                                                                                                                           
                                                                         
                                                                          
                                                   Cancer Deaths Per Year 
                                                  ------------------------ 
                                                  | Y  |  X    |   Y  | X 
                                                  ------------------------
                                                  1980 |  3    | 1998 | 19
                                                  1981 |  5    | 1999 | 19
                                                  1982 |  6    | 2000 | 21
                                                  1983 |  8    | 2001 | 21
                                                  1984 |  8    | 2002 | 22
                                                  1985 |  8    | 2003 | 22
                                                  1986 |  9    | 2004 | 22
                                                  1987 |  9    | 2005 | 23
                                                  1988 |  9    | 2006 | 24
                                                  1989 |  9    | 2007 | 25
                                                  1990 | 14    | 2008 | 27
                                                  1991 | 16    | 2009 | 28
                                                  1992 | 17    | 2010 | 29
                                                  1993 | 17    | 2011 | 33
                                                  1994 | 17    | 2012 | 34
                                                  1995 | 17    | 2013 | 39
                                                  1996 | 18    | 2014 | 43
                                                  1997 | 19    | 2015 | 45
